Test Method,Test Method,,
0.244,245.305,238.583,-1.3858
0.244,245.862,238.583,-1.3858
0.245,246.279,238.976,-1.3898
0.245,246.749,239.37,-1.3937
0.245,247.154,239.764,-1.3976
0.246,247.694,240.158,-1.4016
0.246,248.105,240.551,-1.4055
0.246,248.565,240.945,-1.4094
0.247,249.025,241.339,-1.4134
0.247,249.448,241.732,-1.4173
0.247,249.683,242.126,-1.4213
0.248,249.982,242.52,-1.4252
0.248,250.35,242.913,-1.4291
0.248,250.704,242.913,-1.4291
0.249,251.274,243.307,-1.4331
0.249,251.515,243.701,-1.437
0.249,252.098,244.095,-1.4409
0.25,252.433,244.488,-1.4449
0.25,252.836,244.882,-1.4488
0.25,253.025,245.276,-1.4528
0.251,253.281,245.669,-1.4567
0.251,253.754,245.669,-1.4567
0.251,254.206,246.063,-1.4606
0.252,254.698,246.457,-1.4646
0.252,255.056,246.85,-1.4685
0.252,255.229,247.244,-1.4724
0.253,255.582,247.638,-1.4764
0.253,255.84,248.032,-1.4803
0.253,256.378,248.425,-1.4843
0.254,256.616,248.425,-1.4843
0.254,257.154,248.819,-1.4882
0.254,257.412,249.213,-1.4921
0.255,257.583,249.606,-1.4961
0.255,257.945,250,-1.5
0.255,258.231,250,-1.5
0.256,258.83,250.394,-1.5039
0.256,259.073,250.787,-1.5079
0.256,259.361,251.181,-1.5118
0.257,259.668,251.575,-1.5157
0.257,259.969,251.575,-1.5157
0.257,260.516,251.969,-1.5197
0.258,260.88,252.362,-1.5236
0.258,261.256,252.756,-1.5276
0.258,261.393,253.15,-1.5315
0.259,261.623,253.543,-1.5354
0.259,262.06,253.543,-1.5354
0.259,262.665,253.937,-1.5394
0.26,263.119,254.331,-1.5433
0.26,263.377,254.724,-1.5472
0.26,263.443,255.118,-1.5512
0.261,263.836,255.512,-1.5551
0.261,264.24,255.512,-1.5551
0.261,264.68,255.906,-1.5591
0.262,264.98,256.299,-1.563
0.262,265.332,256.693,-1.5669
0.262,265.517,257.087,-1.5709
0.263,265.829,257.48,-1.5748
0.263,266.265,257.48,-1.5748
0.263,266.699,257.874,-1.5787
0.264,267.099,258.268,-1.5827
0.264,267.331,258.662,-1.5866
0.264,267.604,259.055,-1.5906
0.265,267.858,259.449,-1.5945
0.265,268.164,259.449,-1.5945
0.265,268.658,259.843,-1.5984
0.266,269.046,260.236,-1.6024
0.266,269.302,260.63,-1.6063
0.266,269.604,261.024,-1.6102
0.267,269.806,261.024,-1.6102
0.267,270.383,261.417,-1.6142
0.267,270.838,261.811,-1.6181
0.268,271.214,262.205,-1.622
0.268,271.323,262.599,-1.626
0.268,271.553,262.992,-1.6299
0.269,271.924,262.992,-1.6299
0.269,272.485,263.386,-1.6339
0.269,272.899,263.78,-1.6378
0.27,273.114,264.173,-1.6417
0.27,273.415,264.567,-1.6457
0.27,273.535,264.961,-1.6496
0.271,274.112,265.354,-1.6535
0.271,274.434,265.354,-1.6535
0.271,274.874,265.748,-1.6575
0.272,275.128,266.142,-1.6614
0.272,275.414,266.536,-1.6654
0.272,275.732,266.929,-1.6693
0.273,276.105,267.323,-1.6732
0.273,276.449,267.323,-1.6732
0.273,276.949,267.717,-1.6772
0.274,277.336,268.11,-1.6811
0.274,277.547,268.504,-1.685
0.274,277.779,268.898,-1.689
0.275,277.974,268.898,-1.689
0.275,278.564,269.291,-1.6929
0.275,279.01,269.685,-1.6969
0.276,279.471,270.079,-1.7008
0.276,279.66,270.473,-1.7047
0.276,279.799,270.866,-1.7087
0.277,280.237,270.866,-1.7087
0.277,280.695,271.26,-1.7126
0.277,281.137,271.654,-1.7165
0.278,281.477,272.047,-1.7205
0.278,281.704,272.441,-1.7244
0.278,281.884,272.835,-1.7283
0.279,282.278,273.228,-1.7323
0.279,282.709,273.228,-1.7323
0.279,283.037,273.622,-1.7362
0.28,283.545,274.016,-1.7402
0.28,283.869,274.41,-1.7441
0.28,284.032,274.803,-1.748
0.281,284.531,275.197,-1.752
0.281,285.312,275.591,-1.7559
0.281,285.315,275.591,-1.7559
0.282,285.786,275.984,-1.7598
0.282,286.098,276.378,-1.7638
0.282,286.301,276.772,-1.7677
0.283,286.469,277.165,-1.7717
0.283,286.874,277.165,-1.7717
0.283,287.37,277.559,-1.7756
0.284,287.811,277.953,-1.7795
0.284,288.046,278.347,-1.7835
0.284,288.2,278.74,-1.7874
0.285,288.476,279.134,-1.7913
0.285,288.912,279.134,-1.7913
0.285,289.495,279.528,-1.7953
0.286,289.709,279.921,-1.7992
0.286,289.939,280.315,-1.8032
0.286,290.21,280.709,-1.8071
0.287,290.628,281.102,-1.811
0.287,290.949,281.102,-1.811
0.287,291.432,281.496,-1.815
0.288,291.758,281.89,-1.8189
0.288,292.022,282.284,-1.8228
0.288,292.275,282.677,-1.8268
0.289,292.623,283.071,-1.8307
0.289,292.995,283.071,-1.8307
0.289,293.476,283.465,-1.8346
0.29,293.837,283.858,-1.8386
0.29,294.144,284.252,-1.8425
0.29,294.227,284.646,-1.8465
0.291,294.618,284.646,-1.8465
0.291,295.135,285.039,-1.8504
0.291,295.544,285.433,-1.8543
0.292,295.858,285.827,-1.8583
0.292,296.086,286.221,-1.8622
0.292,296.19,286.614,-1.8661
0.293,296.778,286.614,-1.8661
0.293,297.163,287.008,-1.8701
0.293,297.606,287.402,-1.874
0.294,297.844,287.795,-1.878
0.294,297.986,288.189,-1.8819
0.294,298.356,288.583,-1.8858
0.295,298.736,288.583,-1.8858
0.295,299.346,288.976,-1.8898
0.295,299.553,289.37,-1.8937
0.296,299.861,289.764,-1.8976
0.296,300.065,290.158,-1.9016
0.296,300.465,290.551,-1.9055
0.297,300.889,290.551,-1.9055
0.297,301.257,290.945,-1.9094
0.297,301.61,291.339,-1.9134
0.298,301.76,291.732,-1.9173
0.298,302.062,292.126,-1.9213
0.298,302.474,292.52,-1.9252
0.299,302.74,292.52,-1.9252
0.299,303.244,292.913,-1.9291
0.299,303.662,293.307,-1.9331
0.3,303.889,293.701,-1.937
0.3,304.133,294.095,-1.9409
0.3,304.36,294.095,-1.9409
0.301,304.912,294.488,-1.9449
0.301,305.389,294.882,-1.9488
0.301,305.808,295.276,-1.9528
0.302,306.014,295.669,-1.9567
0.302,306.244,296.063,-1.9606
0.302,306.505,296.457,-1.9646
0.303,307.088,296.457,-1.9646
0.303,307.491,296.85,-1.9685
0.303,307.851,297.244,-1.9724
0.304,308.228,297.638,-1.9764
0.304,308.372,298.032,-1.9803
0.304,308.724,298.425,-1.9843
0.305,309.08,298.819,-1.9882
0.305,309.45,298.819,-1.9882
0.305,309.912,299.213,-1.9921
0.306,310.389,299.606,-1.9961
0.306,310.783,300,-2
0.306,311.076,300.394,-2.0039
0.307,311.33,300.788,-2.0079
0.307,311.562,301.181,-2.0118
0.307,311.964,301.575,-2.0157
0.308,312.385,301.575,-2.0157
0.308,312.711,301.969,-2.0197
0.308,313.302,302.362,-2.0236
0.309,313.646,302.756,-2.0276
0.309,314.021,303.15,-2.0315
0.309,314.335,303.543,-2.0354
0.31,314.515,303.937,-2.0394
0.31,314.876,304.331,-2.0433
0.31,315.24,304.725,-2.0472
0.311,315.735,305.118,-2.0512
0.311,316.066,305.118,-2.0512
0.311,316.519,305.512,-2.0551
0.312,317.008,305.906,-2.0591
0.312,317.465,306.299,-2.063
0.312,317.749,306.693,-2.0669
0.313,318.131,307.087,-2.0709
0.313,318.386,307.48,-2.0748
0.313,318.837,307.874,-2.0787
0.314,319.082,308.268,-2.0827
0.314,319.282,308.662,-2.0866
0.314,319.724,309.055,-2.0906
0.315,320.113,309.055,-2.0906
0.315,320.628,309.449,-2.0945
0.315,320.913,309.843,-2.0984
0.316,321.356,310.236,-2.1024
0.316,321.668,310.63,-2.1063
0.316,321.912,311.024,-2.1102
0.317,322.195,311.417,-2.1142
0.317,322.509,311.417,-2.1142
0.317,322.941,311.811,-2.1181
0.318,323.531,312.205,-2.122
0.318,323.865,312.599,-2.126
0.318,324.157,312.992,-2.1299
0.319,324.287,313.386,-2.1339
0.319,324.648,313.78,-2.1378
0.319,325.098,313.78,-2.1378
0.32,325.634,314.173,-2.1417
0.32,325.927,314.567,-2.1457
0.32,326.218,314.961,-2.1496
0.321,326.441,315.354,-2.1535
0.321,326.752,315.748,-2.1575
0.321,327.211,315.748,-2.1575
0.322,327.596,316.142,-2.1614
0.322,328.028,316.536,-2.1654
0.322,328.26,316.929,-2.1693
0.323,328.511,317.323,-2.1732
0.323,328.926,317.717,-2.1772
0.323,329.228,317.717,-2.1772
0.324,329.828,318.11,-2.1811
0.324,330.118,318.504,-2.185
0.324,330.293,318.898,-2.189
0.325,330.717,319.291,-2.1929
0.325,330.949,319.291,-2.1929
0.325,331.474,319.685,-2.1969
0.326,332.032,320.079,-2.2008
0.326,332.306,320.473,-2.2047
0.326,332.515,320.866,-2.2087
0.327,332.744,321.26,-2.2126
0.327,333.162,321.26,-2.2126
0.327,333.81,321.654,-2.2165
0.328,334.063,322.047,-2.2205
0.328,334.448,322.441,-2.2244
0.328,334.614,322.835,-2.2283
0.329,334.916,323.228,-2.2323
0.329,335.335,323.228,-2.2323
0.329,335.913,323.622,-2.2362
0.33,336.261,324.016,-2.2402
0.33,336.585,324.41,-2.2441
0.33,336.787,324.803,-2.248
0.331,337.133,325.197,-2.252
0.331,337.562,325.197,-2.252
0.331,337.967,325.591,-2.2559
0.332,338.46,325.984,-2.2598
0.332,338.743,326.378,-2.2638
0.332,339.004,326.772,-2.2677
0.333,339.34,327.165,-2.2717
0.333,339.622,327.165,-2.2717
0.333,340.28,327.559,-2.2756
0.334,340.626,327.953,-2.2795
0.334,340.934,328.347,-2.2835
0.334,341.134,328.74,-2.2874
0.335,341.392,328.74,-2.2874
0.335,341.976,329.134,-2.2913
0.335,342.484,329.528,-2.2953
0.336,342.838,329.921,-2.2992
0.336,343.009,330.315,-2.3032
0.336,343.356,330.709,-2.3071
0.337,343.649,330.709,-2.3071
0.337,344.242,331.102,-2.311
0.337,344.746,331.496,-2.315
0.338,344.927,331.89,-2.3189
0.338,345.217,332.284,-2.3228
0.338,345.528,332.677,-2.3268
0.339,345.93,332.677,-2.3268
0.339,346.557,333.071,-2.3307
0.339,346.804,333.465,-2.3346
0.34,347.267,333.858,-2.3386
0.34,347.451,334.252,-2.3425
0.34,347.725,334.646,-2.3465
0.341,348.175,335.039,-2.3504
0.341,348.443,335.039,-2.3504
0.341,349.037,335.433,-2.3543
0.342,349.489,335.827,-2.3583
0.342,349.768,336.221,-2.3622
0.342,350.043,336.614,-2.3661
0.343,350.26,337.008,-2.3701
0.343,350.844,337.008,-2.3701
0.343,351.275,337.402,-2.374
0.344,351.829,337.795,-2.378
0.344,352.057,338.189,-2.3819
0.344,352.143,338.583,-2.3858
0.345,352.583,338.977,-2.3898
0.345,353.116,338.977,-2.3898
0.345,353.563,338.977,-2.3898
0.346,354.761,340.158,-2.4016
0.346,354.718,340.158,-2.4016
0.346,355.005,340.551,-2.4055
0.347,355.273,340.945,-2.4095
0.347,355.616,340.945,-2.4095
0.347,355.952,341.339,-2.4134
0.348,356.525,341.732,-2.4173
0.348,356.816,342.126,-2.4213
0.348,357.064,342.52,-2.4252
0.349,357.414,342.914,-2.4291
0.349,357.606,342.914,-2.4291
0.349,358.28,343.307,-2.4331
0.35,358.687,343.701,-2.437
0.35,359.003,344.095,-2.4409
0.35,359.235,344.488,-2.4449
0.351,359.415,344.882,-2.4488
0.351,359.895,344.882,-2.4488
0.351,360.448,345.276,-2.4528
0.352,360.908,345.669,-2.4567
0.352,361.152,346.063,-2.4606
0.352,361.322,346.457,-2.4646
0.353,361.696,346.851,-2.4685
0.353,362.179,346.851,-2.4685
0.353,362.671,347.244,-2.4724
0.354,362.994,347.638,-2.4764
0.354,363.181,348.032,-2.4803
0.354,363.489,348.425,-2.4843
0.355,363.876,348.425,-2.4843
0.355,364.369,348.819,-2.4882
0.355,364.801,349.213,-2.4921
0.356,365.183,349.606,-2.4961
0.356,365.355,350,-2.5
0.356,365.645,350.394,-2.5039
0.357,366.077,350.394,-2.5039
0.357,366.478,350.788,-2.5079
0.357,366.961,351.181,-2.5118
0.358,367.13,351.575,-2.5157
0.358,367.424,351.969,-2.5197
0.358,367.942,352.362,-2.5236
0.359,368.195,352.362,-2.5236
0.359,368.682,352.756,-2.5276
0.359,369.041,353.15,-2.5315
0.36,369.36,353.543,-2.5354
0.36,369.621,353.937,-2.5394
0.36,369.817,353.937,-2.5394
0.361,370.433,354.331,-2.5433
0.361,370.785,354.725,-2.5472
0.361,371.245,355.118,-2.5512
0.362,371.454,355.512,-2.5551
0.362,371.583,355.906,-2.5591
0.362,372.165,355.906,-2.5591
0.363,372.572,356.299,-2.563
0.363,373.123,356.693,-2.5669
0.363,373.345,357.087,-2.5709
0.364,373.503,357.48,-2.5748
0.364,373.863,357.874,-2.5787
0.364,374.391,357.874,-2.5787
0.365,374.894,358.268,-2.5827
0.365,375.263,358.662,-2.5866
0.365,375.6,359.055,-2.5906
0.366,375.824,359.449,-2.5945
0.366,376.154,359.843,-2.5984
0.366,376.652,359.843,-2.5984
0.367,377.021,360.236,-2.6024
0.367,377.595,360.63,-2.6063
0.367,377.872,361.024,-2.6102
0.368,378.23,361.417,-2.6142
0.368,378.474,361.811,-2.6181
0.368,378.74,361.811,-2.6181
0.369,379.426,362.205,-2.622
0.369,379.923,362.599,-2.626
0.369,380.38,362.992,-2.6299
0.37,380.569,363.386,-2.6339
0.37,380.832,363.78,-2.6378
0.37,381.172,364.173,-2.6417
0.371,381.676,364.173,-2.6417
0.371,382.38,364.567,-2.6457
0.371,382.675,364.961,-2.6496
0.372,383.185,365.354,-2.6535
0.372,383.583,365.748,-2.6575
0.372,384.086,366.142,-2.6614
0.373,384.37,366.536,-2.6654
0.373,384.651,366.929,-2.6693
0.373,385.167,366.929,-2.6693
0.374,385.841,367.323,-2.6732
0.374,386.338,367.717,-2.6772
0.374,386.787,368.11,-2.6811
0.375,387.248,368.504,-2.685
0.375,387.763,368.898,-2.689
0.375,388.14,369.291,-2.6929
0.376,388.556,369.685,-2.6969
0.376,388.82,370.079,-2.7008
0.376,389.449,370.473,-2.7047
0.377,389.963,370.473,-2.7047
0.377,390.495,371.26,-2.7126
0.377,390.892,371.26,-2.7126
0.378,391.522,371.654,-2.7165
0.378,392.107,372.047,-2.7205
0.378,392.623,372.441,-2.7244
0.379,393.039,372.835,-2.7283
0.379,393.479,373.228,-2.7323
0.379,393.954,373.622,-2.7362
0.38,394.25,374.016,-2.7402
0.38,394.784,374.41,-2.7441
0.38,395.121,374.41,-2.7441
0.381,395.764,374.803,-2.748
0.381,396.309,375.197,-2.752
0.381,396.857,375.591,-2.7559
0.382,397.285,375.984,-2.7598
0.382,397.516,376.378,-2.7638
0.382,397.956,376.772,-2.7677
0.383,398.385,376.772,-2.7677
0.383,398.965,377.166,-2.7717
0.383,399.453,377.559,-2.7756
0.384,399.927,377.953,-2.7795
0.384,400.369,378.347,-2.7835
0.384,400.61,378.74,-2.7874
0.385,401.108,379.134,-2.7913
0.385,401.568,379.134,-2.7913
0.385,402.099,379.528,-2.7953
0.386,402.727,379.921,-2.7992
0.386,403.113,380.315,-2.8032
0.386,403.408,380.709,-2.8071
0.387,403.696,381.103,-2.811
0.387,404.146,381.103,-2.811
0.387,404.88,381.496,-2.815
0.388,405.251,381.89,-2.8189
0.388,405.486,382.284,-2.8228
0.388,405.813,382.677,-2.8268
0.389,406.33,382.677,-2.8268
0.389,407.024,383.071,-2.8307
0.389,407.54,383.465,-2.8346
0.39,407.798,383.858,-2.8386
0.39,408.141,384.252,-2.8425
0.39,408.569,384.646,-2.8465
0.391,409.204,384.646,-2.8465
0.391,409.835,385.04,-2.8504
0.391,410.249,385.433,-2.8543
0.392,410.495,385.827,-2.8583
0.392,410.847,386.221,-2.8622
0.392,411.39,386.221,-2.8622
0.393,411.965,386.614,-2.8661
0.393,412.57,387.008,-2.8701
0.393,412.836,387.402,-2.874
0.394,413.246,387.795,-2.878
0.394,413.653,388.189,-2.8819
0.394,414.174,388.189,-2.8819
0.395,414.715,388.583,-2.8858
0.395,415.264,388.977,-2.8898
0.395,415.726,389.37,-2.8937
0.396,416.09,389.764,-2.8976
0.396,416.409,390.158,-2.9016
0.396,416.908,390.158,-2.9016
0.397,417.514,390.551,-2.9055
0.397,418.113,390.945,-2.9095
0.397,418.519,391.339,-2.9134
0.398,418.852,391.732,-2.9173
0.398,419.138,392.126,-2.9213
0.398,419.684,392.126,-2.9213
0.399,420.33,392.52,-2.9252
0.399,420.817,392.914,-2.9291
0.399,421.239,393.307,-2.9331
0.4,421.475,393.701,-2.937
0.4,422,394.095,-2.9409
0.4,422.525,394.095,-2.9409
0.401,423.305,394.488,-2.9449
0.401,423.588,394.882,-2.9488
0.401,424.013,395.276,-2.9528
0.402,424.303,395.669,-2.9567
0.402,424.822,395.669,-2.9567
0.402,425.516,396.063,-2.9606
0.403,425.948,396.457,-2.9646
0.403,426.397,396.851,-2.9685
0.403,426.754,397.244,-2.9724
0.404,427.214,397.638,-2.9764
0.404,427.712,398.032,-2.9803
0.404,428.214,398.032,-2.9803
0.405,428.763,398.425,-2.9843
0.405,429.327,398.819,-2.9882
0.405,429.582,399.213,-2.9921
0.406,430.075,399.606,-2.9961
0.406,430.414,399.606,-2.9961
0.406,431.193,400,-3
0.407,431.646,400.394,-3.0039
0.407,432.239,400.788,-3.0079
0.407,432.599,401.181,-3.0118
0.408,432.924,401.575,-3.0157
0.408,433.356,401.575,-3.0157
0.408,434.085,401.969,-3.0197
0.409,434.699,402.362,-3.0236
0.409,435.032,402.756,-3.0276
0.409,435.485,403.15,-3.0315
0.41,435.811,403.543,-3.0354
0.41,436.337,403.937,-3.0394
0.41,436.991,403.937,-3.0394
0.411,437.37,404.331,-3.0433
0.411,438.022,404.725,-3.0472
0.411,438.39,405.118,-3.0512
0.412,438.795,405.512,-3.0551
0.412,439.337,405.906,-3.0591
0.412,439.803,405.906,-3.0591
0.413,440.81,406.299,-3.063
0.413,441.598,406.693,-3.0669
0.413,441.811,407.087,-3.0709
0.414,442.247,407.48,-3.0748
0.414,442.586,407.874,-3.0787
0.414,443.259,407.874,-3.0787
0.415,443.884,408.268,-3.0827
0.415,444.378,408.662,-3.0866
0.415,444.629,409.055,-3.0906
0.416,445,409.449,-3.0945
0.416,445.542,409.449,-3.0945
0.416,446.16,409.843,-3.0984
0.417,446.918,410.236,-3.1024
0.417,447.217,410.63,-3.1063
0.417,447.553,411.024,-3.1102
0.418,447.926,411.417,-3.1142
0.418,448.617,411.417,-3.1142
0.418,449.251,411.811,-3.1181
0.419,449.695,412.205,-3.122
0.419,450.165,412.599,-3.126
0.419,450.571,412.992,-3.1299
0.42,450.879,413.386,-3.1339
0.42,451.666,413.386,-3.1339
0.42,452.096,413.78,-3.1378
0.421,452.719,414.173,-3.1417
0.421,453.039,414.567,-3.1457
0.421,453.391,414.961,-3.1496
0.422,454.013,415.355,-3.1535
0.422,454.409,415.355,-3.1535
0.422,455.15,415.748,-3.1575
0.423,455.623,416.142,-3.1614
0.423,456.003,416.536,-3.1654
0.423,456.456,416.929,-3.1693
0.424,456.935,416.929,-3.1693
0.424,457.594,417.323,-3.1732
0.424,458.175,417.717,-3.1772
0.425,458.626,418.11,-3.1811
0.425,459.073,418.504,-3.185
0.425,459.341,418.898,-3.189
0.426,460.059,418.898,-3.189
0.426,460.713,419.292,-3.1929
0.426,461.31,419.685,-3.1969
0.427,461.573,420.079,-3.2008
0.427,461.895,420.473,-3.2047
0.427,462.48,420.473,-3.2047
0.428,463.129,420.866,-3.2087
0.428,463.896,421.26,-3.2126
0.428,464.238,421.654,-3.2165
0.429,464.507,422.047,-3.2205
0.429,464.995,422.441,-3.2244
0.429,465.752,422.441,-3.2244
0.43,466.318,422.835,-3.2283
0.43,466.887,423.229,-3.2323
0.43,467.196,423.622,-3.2362
0.431,467.669,424.016,-3.2402
0.431,468.172,424.41,-3.2441
0.431,468.861,424.41,-3.2441
0.432,469.51,424.803,-3.248
0.432,469.939,425.197,-3.252
0.432,470.389,425.591,-3.2559
0.433,470.645,425.984,-3.2598
0.433,471.377,426.378,-3.2638
0.433,471.841,426.378,-3.2638
0.434,472.621,426.772,-3.2677
0.434,473.189,427.166,-3.2717
0.434,473.622,427.559,-3.2756
0.435,474.082,427.953,-3.2795
0.435,474.449,428.347,-3.2835
0.435,475.023,428.347,-3.2835
0.436,475.745,428.74,-3.2874
0.436,476.364,429.134,-3.2913
0.436,476.878,429.528,-3.2953
0.437,477.311,429.921,-3.2992
0.437,477.698,430.315,-3.3032
0.437,478.421,430.709,-3.3071
0.438,479.019,431.103,-3.311
0.438,479.549,431.103,-3.311
0.438,480.325,431.496,-3.315
0.439,480.994,431.89,-3.3189
0.439,481.532,432.284,-3.3228
0.439,482.083,432.677,-3.3268
0.44,482.415,433.071,-3.3307
0.44,482.922,433.465,-3.3346
0.44,483.527,433.858,-3.3386
0.441,484.226,434.252,-3.3425
0.441,484.752,434.252,-3.3425
0.441,485.414,434.646,-3.3465
0.442,486.23,435.04,-3.3504
0.442,486.865,435.433,-3.3543
0.442,487.408,435.827,-3.3583
0.443,487.872,436.221,-3.3622
0.443,488.325,436.614,-3.3661
0.443,488.946,437.008,-3.3701
0.444,489.448,437.402,-3.374
0.444,489.952,437.795,-3.378
0.444,490.702,438.189,-3.3819
0.445,491.514,438.189,-3.3819
0.445,492.081,438.583,-3.3858
0.445,492.632,438.977,-3.3898
0.446,493.276,439.37,-3.3937
0.446,493.844,439.764,-3.3976
0.446,494.469,440.158,-3.4016
0.447,494.938,440.551,-3.4055
0.447,495.287,440.945,-3.4095
0.447,495.893,441.339,-3.4134
0.448,496.472,441.339,-3.4134
0.448,497.23,441.732,-3.4173
0.448,497.762,442.126,-3.4213
0.449,498.327,442.52,-3.4252
0.449,498.711,442.914,-3.4291
0.449,499.258,443.307,-3.4331
0.45,499.826,443.307,-3.4331
0.45,500.446,443.701,-3.437
0.45,501.177,444.095,-3.4409
0.451,501.685,444.488,-3.4449
0.451,502.233,444.882,-3.4488
0.451,502.728,445.276,-3.4528
0.452,503.083,445.669,-3.4567
0.452,503.664,445.669,-3.4567
0.452,504.382,446.063,-3.4606
0.453,504.965,446.457,-3.4646
0.453,505.288,446.851,-3.4685
0.453,505.597,447.244,-3.4724
0.454,506.348,447.244,-3.4724
0.454,507.06,447.638,-3.4764
0.454,507.614,448.032,-3.4803
0.455,507.933,448.425,-3.4843
0.455,508.328,448.819,-3.4882
0.455,509.175,448.819,-3.4882
0.456,509.808,449.213,-3.4921
0.456,510.464,449.606,-3.4961
0.456,510.85,450,-3.5
0.457,511.228,450.394,-3.5039
0.457,511.813,450.788,-3.5079
0.457,512.539,450.788,-3.5079
0.458,513.15,451.181,-3.5118
0.458,513.744,451.575,-3.5157
0.458,514.205,451.969,-3.5197
0.459,514.606,452.362,-3.5236
0.459,515.161,452.362,-3.5236
0.459,515.937,452.756,-3.5276
0.46,516.454,453.15,-3.5315
0.46,517.068,453.543,-3.5354
0.46,517.448,453.937,-3.5394
0.461,517.998,454.331,-3.5433
0.461,518.643,454.331,-3.5433
0.461,519.173,454.725,-3.5472
0.462,520.066,455.118,-3.5512
0.462,520.574,455.512,-3.5551
0.462,520.993,455.906,-3.5591
0.463,521.392,456.299,-3.563
0.463,522.087,456.299,-3.563
0.463,522.722,456.693,-3.5669
0.464,523.509,457.087,-3.5709
0.464,523.855,457.481,-3.5748
0.464,524.366,457.874,-3.5787
0.465,524.798,458.268,-3.5827
0.465,525.44,458.268,-3.5827
0.465,526.281,458.662,-3.5866
0.466,526.888,459.055,-3.5906
0.466,527.404,459.449,-3.5945
0.466,527.717,459.843,-3.5984
0.467,528.35,459.843,-3.5984
0.467,529.064,460.236,-3.6024
0.467,529.831,460.63,-3.6063
0.468,530.362,461.024,-3.6102
0.468,530.71,461.418,-3.6142
0.468,531.242,461.811,-3.6181
0.469,531.883,461.811,-3.6181
0.469,532.692,462.205,-3.622
0.469,533.158,462.599,-3.626
0.47,533.672,462.992,-3.6299
0.47,534.27,463.386,-3.6339
0.47,534.721,463.78,-3.6378
0.471,535.504,463.78,-3.6378
0.471,536.084,464.173,-3.6417
0.471,536.689,464.567,-3.6457
0.472,537.374,464.961,-3.6496
0.472,537.661,465.355,-3.6535
0.472,538.299,465.748,-3.6575
