Test Method,Test Method,,
0.473,538.925,465.748,-3.6575
0.473,539.69,466.142,-3.6614
0.473,540.339,466.536,-3.6654
0.474,540.901,466.929,-3.6693
0.474,541.351,467.323,-3.6732
0.474,541.771,467.717,-3.6772
0.475,542.461,467.717,-3.6772
0.475,543.342,468.11,-3.6811
0.475,544.002,468.504,-3.685
0.476,544.489,468.898,-3.689
0.476,544.982,469.292,-3.6929
0.476,545.278,469.685,-3.6969
0.477,546.078,469.685,-3.6969
0.477,546.753,470.079,-3.7008
0.477,547.468,470.473,-3.7047
0.478,548.023,470.866,-3.7087
0.478,548.472,471.26,-3.7126
0.478,549.01,471.654,-3.7165
0.479,549.701,472.047,-3.7205
0.479,550.272,472.047,-3.7205
0.479,550.995,472.441,-3.7244
0.48,551.679,472.835,-3.7283
0.48,552.207,473.229,-3.7323
0.48,552.689,473.622,-3.7362
0.481,553.105,474.016,-3.7402
0.481,553.896,474.016,-3.7402
0.481,554.597,474.41,-3.7441
0.482,555.289,474.803,-3.748
0.482,555.679,475.197,-3.752
0.482,556.155,475.591,-3.7559
0.483,556.747,475.591,-3.7559
0.483,557.64,475.984,-3.7598
0.483,558.244,476.378,-3.7638
0.484,558.766,476.772,-3.7677
0.484,559.191,477.166,-3.7717
0.484,559.681,477.559,-3.7756
0.485,560.435,477.559,-3.7756
0.485,561.285,477.953,-3.7795
0.485,562.008,478.347,-3.7835
0.486,562.962,478.74,-3.7874
0.486,563.255,479.134,-3.7913
0.486,563.813,479.528,-3.7953
0.487,564.61,479.528,-3.7953
0.487,565.129,479.921,-3.7992
0.487,565.851,480.315,-3.8032
0.488,566.246,480.709,-3.8071
0.488,566.777,481.103,-3.811
0.488,567.475,481.496,-3.815
0.489,568.011,481.496,-3.815
0.489,568.726,481.89,-3.8189
0.489,569.224,482.284,-3.8228
0.49,569.777,482.677,-3.8268
0.49,570.361,483.071,-3.8307
0.49,570.988,483.071,-3.8307
0.491,571.648,483.465,-3.8346
0.491,572.437,483.858,-3.8386
0.491,572.879,484.252,-3.8425
0.492,573.451,484.646,-3.8465
0.492,573.883,485.04,-3.8504
0.492,574.672,485.04,-3.8504
0.493,575.41,485.433,-3.8543
0.493,575.999,485.827,-3.8583
0.493,576.491,486.221,-3.8622
0.494,576.941,486.614,-3.8661
0.494,577.568,486.614,-3.8661
0.494,578.251,487.008,-3.8701
0.495,579.1,487.402,-3.874
0.495,579.516,487.795,-3.878
0.495,580.085,488.189,-3.8819
0.496,580.535,488.583,-3.8858
0.496,581.357,488.583,-3.8858
0.496,582.009,488.977,-3.8898
0.497,582.74,489.37,-3.8937
0.497,583.254,489.764,-3.8976
0.497,583.657,490.158,-3.9016
0.498,584.237,490.551,-3.9055
0.498,585.103,490.945,-3.9095
0.498,585.615,490.945,-3.9095
0.499,586.387,491.339,-3.9134
0.499,586.918,491.732,-3.9173
0.499,587.436,492.126,-3.9213
0.5,588.042,492.52,-3.9252
0.5,588.55,492.52,-3.9252
0.5,589.39,492.914,-3.9291
0.501,590.224,493.307,-3.9331
0.501,590.85,493.701,-3.937
0.501,591.237,494.095,-3.9409
0.502,591.745,494.488,-3.9449
0.502,592.347,494.882,-3.9488
0.502,593.093,494.882,-3.9488
0.503,594.005,495.276,-3.9528
0.503,594.618,495.67,-3.9567
0.503,595.29,496.063,-3.9606
0.504,595.82,496.457,-3.9646
0.504,596.375,496.851,-3.9685
0.504,597.111,497.244,-3.9724
0.505,597.489,497.638,-3.9764
0.505,598.366,497.638,-3.9764
0.505,599.066,498.032,-3.9803
0.506,600.002,498.425,-3.9843
0.506,600.539,498.819,-3.9882
0.506,601.033,499.213,-3.9921
0.507,601.563,499.607,-3.9961
0.507,602.685,500,-4
0.507,603.182,500.394,-4.0039
0.508,603.683,500.788,-4.0079
0.508,604.412,501.181,-4.0118
0.508,605.197,501.575,-4.0158
0.509,605.921,501.575,-4.0158
0.509,606.514,501.969,-4.0197
0.509,607.327,502.362,-4.0236
0.51,608.07,502.756,-4.0276
0.51,608.742,503.15,-4.0315
0.51,609.345,503.544,-4.0354
0.511,609.767,503.937,-4.0394
0.511,610.586,504.331,-4.0433
0.511,611.244,504.725,-4.0472
0.512,611.901,505.118,-4.0512
0.512,612.504,505.118,-4.0512
0.512,613.433,505.512,-4.0551
0.513,614.075,505.906,-4.0591
0.513,614.803,506.299,-4.063
0.513,615.271,506.693,-4.0669
0.514,615.69,507.087,-4.0709
0.514,616.48,507.481,-4.0748
0.514,617.164,507.481,-4.0748
0.515,618.093,507.874,-4.0787
0.515,618.579,508.268,-4.0827
0.515,619.265,508.662,-4.0866
0.516,619.85,509.055,-4.0906
0.516,620.522,509.449,-4.0945
0.516,620.977,509.843,-4.0984
0.517,621.621,509.843,-4.0984
0.517,622.471,510.236,-4.1024
0.517,623.207,510.63,-4.1063
0.518,623.834,511.024,-4.1102
0.518,624.273,511.418,-4.1142
0.518,624.671,511.811,-4.1181
0.519,625.372,511.811,-4.1181
0.519,626.171,512.205,-4.122
0.519,626.603,512.599,-4.126
0.52,627.079,512.992,-4.1299
0.52,627.587,512.992,-4.1299
0.52,628.441,513.386,-4.1339
0.521,629.107,513.78,-4.1378
0.521,629.755,514.173,-4.1417
0.521,630.174,514.567,-4.1457
0.522,630.743,514.961,-4.1496
0.522,631.534,514.961,-4.1496
0.522,632.346,515.355,-4.1535
0.523,633.06,515.748,-4.1575
0.523,633.477,516.142,-4.1614
0.523,633.967,516.536,-4.1654
0.524,634.522,516.536,-4.1654
0.524,635.434,516.929,-4.1693
0.524,636.169,517.323,-4.1732
0.525,636.613,517.717,-4.1772
0.525,637.129,518.11,-4.1811
0.525,637.742,518.504,-4.185
0.526,638.535,518.504,-4.185
0.526,639.313,518.898,-4.189
0.526,639.907,519.292,-4.1929
0.527,640.499,519.685,-4.1969
0.527,640.907,520.079,-4.2008
0.527,641.661,520.079,-4.2008
0.528,642.485,520.473,-4.2047
0.528,643.112,520.866,-4.2087
0.528,643.799,521.26,-4.2126
0.529,644.252,521.654,-4.2165
0.529,644.941,522.047,-4.2205
0.529,645.573,522.441,-4.2244
0.53,646.255,522.441,-4.2244
0.53,646.988,522.835,-4.2283
0.53,647.658,523.229,-4.2323
0.531,648.127,523.622,-4.2362
0.531,648.879,524.016,-4.2402
0.531,649.336,524.016,-4.2402
0.532,650.23,524.41,-4.2441
0.532,650.989,524.803,-4.248
0.532,651.565,525.197,-4.252
0.533,652.119,525.591,-4.2559
0.533,652.553,525.984,-4.2598
0.533,653.225,525.984,-4.2598
0.534,654.082,526.378,-4.2638
0.534,654.929,526.772,-4.2677
0.534,655.307,527.166,-4.2717
0.535,655.862,527.559,-4.2756
0.535,656.369,527.953,-4.2795
0.535,657.244,527.953,-4.2795
0.536,658.068,528.347,-4.2835
0.536,658.576,528.74,-4.2874
0.536,659.093,529.134,-4.2913
0.537,659.69,529.528,-4.2953
0.537,660.416,529.921,-4.2992
0.537,661.146,529.921,-4.2992
0.538,661.764,530.315,-4.3032
0.538,662.427,530.709,-4.3071
0.538,663.004,531.103,-4.311
0.539,663.532,531.496,-4.315
0.539,664.377,531.89,-4.3189
0.539,664.901,531.89,-4.3189
0.54,665.736,532.284,-4.3228
0.54,666.411,532.677,-4.3268
0.54,666.963,533.071,-4.3307
0.541,667.473,533.465,-4.3346
0.541,668.031,533.859,-4.3386
0.541,668.77,533.859,-4.3386
0.542,669.66,534.252,-4.3425
0.542,670.332,534.646,-4.3465
0.542,670.849,535.04,-4.3504
0.543,671.296,535.433,-4.3543
0.543,671.887,535.827,-4.3583
0.543,672.74,535.827,-4.3583
0.544,673.682,536.221,-4.3622
0.544,674.246,536.614,-4.3661
0.544,674.697,537.008,-4.3701
0.545,675.216,537.402,-4.374
0.545,675.824,537.796,-4.378
0.545,676.738,537.796,-4.378
0.546,677.358,538.189,-4.3819
0.546,678.097,538.583,-4.3858
0.546,678.523,538.977,-4.3898
0.547,679.153,539.37,-4.3937
0.547,679.773,539.764,-4.3976
0.547,680.406,539.764,-4.3976
0.548,681.214,540.158,-4.4016
0.548,681.837,540.551,-4.4055
0.548,682.401,540.945,-4.4095
0.549,682.928,541.339,-4.4134
0.549,683.616,541.339,-4.4134
0.549,684.359,541.733,-4.4173
0.55,685.281,542.126,-4.4213
0.55,685.889,542.52,-4.4252
0.55,686.387,542.914,-4.4291
0.551,686.714,543.307,-4.4331
0.551,687.553,543.307,-4.4331
0.551,688.353,543.701,-4.437
0.552,689.065,544.095,-4.4409
0.552,689.566,544.488,-4.4449
0.552,689.986,544.882,-4.4488
0.553,690.617,545.276,-4.4528
0.553,691.487,545.276,-4.4528
0.553,692.281,545.67,-4.4567
0.554,692.862,546.063,-4.4606
0.554,693.476,546.457,-4.4646
0.554,694.313,546.851,-4.4685
0.555,695.519,547.244,-4.4724
0.555,695.937,547.244,-4.4724
0.555,696.605,547.638,-4.4764
0.556,697.069,548.032,-4.4803
0.556,697.625,548.425,-4.4843
0.556,698.287,548.819,-4.4882
0.557,699.071,548.819,-4.4882
0.557,699.718,549.213,-4.4921
0.557,700.334,549.607,-4.4961
0.558,700.834,550,-4.5
0.558,701.466,550.394,-4.5039
0.558,702.249,550.788,-4.5079
0.559,702.713,550.788,-4.5079
0.559,703.599,551.181,-4.5118
0.559,704.092,551.575,-4.5158
0.56,704.705,551.969,-4.5197
0.56,705.272,552.362,-4.5236
0.56,706.011,552.362,-4.5236
0.561,706.678,552.756,-4.5276
0.561,707.456,553.15,-4.5315
0.561,708.029,553.544,-4.5354
0.562,708.526,553.937,-4.5394
0.562,709.134,553.937,-4.5394
0.562,709.861,554.331,-4.5433
0.563,710.84,554.725,-4.5472
0.563,711.378,555.118,-4.5512
0.563,711.777,555.512,-4.5551
0.564,712.335,555.906,-4.5591
0.564,713.128,555.906,-4.5591
0.564,714.044,556.299,-4.563
0.565,714.805,556.693,-4.5669
0.565,715.331,557.087,-4.5709
0.565,715.808,557.481,-4.5748
0.566,716.301,557.874,-4.5787
0.566,717.177,557.874,-4.5787
0.566,717.976,558.268,-4.5827
0.567,718.554,558.662,-4.5866
0.567,719.223,559.055,-4.5906
0.567,719.96,559.449,-4.5945
0.568,720.51,559.843,-4.5984
0.568,721.15,560.236,-4.6024
0.568,721.725,560.236,-4.6024
0.569,722.595,560.63,-4.6063
0.569,723.577,561.024,-4.6102
0.569,724.292,561.418,-4.6142
0.57,724.857,561.811,-4.6181
0.57,725.417,562.205,-4.622
0.57,725.872,562.599,-4.626
0.571,726.864,562.992,-4.6299
0.571,727.624,563.386,-4.6339
0.571,728.238,563.386,-4.6339
0.572,729.102,563.78,-4.6378
0.572,729.898,564.173,-4.6417
0.572,730.558,564.567,-4.6457
0.573,731.048,564.961,-4.6496
0.573,731.621,565.355,-4.6535
0.573,732.426,565.748,-4.6575
0.574,733.231,566.142,-4.6614
0.574,734.103,566.536,-4.6654
0.574,734.618,566.536,-4.6654
0.575,735.509,566.929,-4.6693
0.575,736.398,567.323,-4.6732
0.575,737.095,567.717,-4.6772
0.576,737.606,568.11,-4.6811
0.576,738.198,568.504,-4.685
0.576,738.871,568.898,-4.689
0.577,739.775,569.292,-4.6929
0.577,740.563,569.685,-4.6969
0.577,741.1,570.079,-4.7008
0.578,741.89,570.079,-4.7008
0.578,742.787,570.473,-4.7047
0.578,743.587,570.866,-4.7087
0.579,744.151,571.26,-4.7126
0.579,744.634,571.654,-4.7165
0.579,745.255,572.047,-4.7205
0.58,745.886,572.441,-4.7244
0.58,746.805,572.441,-4.7244
0.58,747.478,572.835,-4.7283
0.581,748.167,573.229,-4.7323
0.581,748.878,573.622,-4.7362
0.581,749.472,574.016,-4.7402
0.582,750.067,574.41,-4.7441
0.582,750.645,574.41,-4.7441
0.582,751.576,574.803,-4.748
0.583,752.39,575.197,-4.752
0.583,753.011,575.591,-4.7559
0.583,753.634,575.985,-4.7598
0.584,754.092,576.378,-4.7638
0.584,754.803,576.772,-4.7677
0.584,755.576,576.772,-4.7677
0.585,756.39,577.166,-4.7717
0.585,756.973,577.559,-4.7756
0.585,757.474,577.953,-4.7795
0.586,757.953,578.347,-4.7835
0.586,758.761,578.347,-4.7835
0.586,759.584,578.74,-4.7874
0.587,760.215,579.134,-4.7913
0.587,760.713,579.528,-4.7953
0.587,761.093,579.922,-4.7992
0.588,762.066,579.922,-4.7992
0.588,762.777,580.315,-4.8032
0.588,763.527,580.709,-4.8071
0.589,764.163,581.103,-4.811
0.589,764.561,581.496,-4.815
0.589,765.256,581.89,-4.8189
0.59,766.074,581.89,-4.8189
0.59,766.864,582.284,-4.8228
0.59,767.424,582.677,-4.8268
0.591,767.865,583.071,-4.8307
0.591,768.571,583.465,-4.8346
0.591,769.332,583.465,-4.8346
0.592,770.066,583.859,-4.8386
0.592,770.692,584.252,-4.8425
0.592,771.205,584.646,-4.8465
0.593,771.947,585.04,-4.8504
0.593,772.591,585.433,-4.8543
0.593,773.302,585.433,-4.8543
0.594,774.066,585.827,-4.8583
0.594,774.801,586.221,-4.8622
0.594,775.159,586.614,-4.8661
0.595,775.951,587.008,-4.8701
0.595,776.505,587.008,-4.8701
0.595,777.416,587.402,-4.874
0.596,778.1,587.796,-4.878
0.596,778.406,588.189,-4.8819
0.596,779.182,588.583,-4.8858
0.597,779.799,588.977,-4.8898
0.597,780.532,588.977,-4.8898
0.597,781.483,589.37,-4.8937
0.598,782.039,589.764,-4.8976
0.598,782.609,590.158,-4.9016
0.598,783.006,590.551,-4.9055
0.599,783.908,590.551,-4.9055
0.599,784.68,590.945,-4.9095
0.599,785.4,591.339,-4.9134
0.6,786.029,591.733,-4.9173
0.6,786.399,592.126,-4.9213
0.6,787.239,592.126,-4.9213
0.601,788.024,592.52,-4.9252
0.601,788.901,592.914,-4.9291
0.601,789.374,593.307,-4.9331
0.602,789.853,593.701,-4.937
0.602,790.47,594.095,-4.9409
0.602,791.252,594.095,-4.9409
0.603,792.136,594.488,-4.9449
0.603,792.69,594.882,-4.9488
0.603,793.263,595.276,-4.9528
0.604,793.873,595.67,-4.9567
0.604,794.595,595.67,-4.9567
0.604,795.412,596.063,-4.9606
0.605,796.074,596.457,-4.9646
0.605,796.869,596.851,-4.9685
0.605,797.371,597.244,-4.9724
0.606,798.03,597.638,-4.9764
0.606,798.764,597.638,-4.9764
0.606,799.469,598.032,-4.9803
0.607,800.23,598.425,-4.9843
0.607,800.815,598.819,-4.9882
0.607,801.455,599.213,-4.9921
0.608,802.09,599.607,-4.9961
0.608,802.683,599.607,-4.9961
0.608,803.556,600,-5
0.609,804.323,600.394,-5.0039
0.609,804.901,600.788,-5.0079
0.609,805.576,601.181,-5.0118
0.61,806.101,601.575,-5.0158
0.61,806.867,601.575,-5.0158
0.61,807.848,601.969,-5.0197
0.611,808.584,602.362,-5.0236
0.611,809.141,602.756,-5.0276
0.611,809.57,603.15,-5.0315
0.612,810.184,603.15,-5.0315
0.612,811.102,603.544,-5.0354
0.612,811.961,603.937,-5.0394
0.613,812.544,604.331,-5.0433
0.613,813.077,604.725,-5.0472
0.613,813.585,605.118,-5.0512
0.614,814.448,605.118,-5.0512
0.614,815.324,605.512,-5.0551
0.614,815.907,605.906,-5.0591
0.615,816.553,606.299,-5.063
0.615,817.065,606.693,-5.0669
0.615,817.811,607.087,-5.0709
0.616,818.643,607.087,-5.0709
0.616,819.382,607.481,-5.0748
0.616,820.068,607.874,-5.0787
0.617,820.617,608.268,-5.0827
0.617,821.195,608.662,-5.0866
0.617,821.966,608.662,-5.0866
0.618,822.702,609.055,-5.0906
0.618,823.499,609.449,-5.0945
0.618,824.086,609.843,-5.0984
0.619,824.698,610.236,-5.1024
0.619,825.251,610.63,-5.1063
0.619,826.01,610.63,-5.1063
0.62,826.821,611.024,-5.1102
0.62,827.599,611.418,-5.1142
0.62,828.195,611.811,-5.1181
0.621,828.65,612.205,-5.1221
0.621,829.351,612.205,-5.1221
0.621,830.203,612.599,-5.126
0.622,831.01,612.992,-5.1299
0.622,831.6,613.386,-5.1339
0.622,832.193,613.78,-5.1378
0.623,832.739,614.174,-5.1417
0.623,833.46,614.174,-5.1417
0.623,834.367,614.567,-5.1457
0.624,835.066,614.961,-5.1496
0.624,835.616,615.355,-5.1535
0.624,836.072,615.748,-5.1575
0.625,836.846,615.748,-5.1575
0.625,837.768,616.142,-5.1614
0.625,838.55,616.536,-5.1654
0.626,839.052,616.929,-5.1693
0.626,839.622,617.323,-5.1732
0.626,840.213,617.323,-5.1732
0.627,841.178,617.717,-5.1772
0.627,841.984,618.111,-5.1811
0.627,842.512,618.504,-5.185
0.628,842.998,618.898,-5.189
0.628,843.604,619.292,-5.1929
0.628,844.471,619.292,-5.1929
0.629,845.335,619.685,-5.1969
0.629,846.04,620.079,-5.2008
0.629,846.59,620.473,-5.2047
0.63,846.958,620.866,-5.2087
0.63,847.775,620.866,-5.2087
0.63,848.655,621.26,-5.2126
0.631,849.474,621.654,-5.2165
0.631,850.142,622.048,-5.2205
0.631,850.661,622.441,-5.2244
0.632,851.389,622.835,-5.2283
0.632,851.951,622.835,-5.2283
0.632,852.822,623.229,-5.2323
0.633,853.637,623.622,-5.2362
0.633,854.285,624.016,-5.2402
0.633,854.97,624.41,-5.2441
0.634,855.654,624.803,-5.248
0.634,856.271,625.197,-5.252
0.634,857.083,625.197,-5.252
0.635,858.009,625.591,-5.2559
0.635,858.878,625.985,-5.2598
0.635,859.46,626.378,-5.2638
0.636,860.273,626.772,-5.2677
0.636,860.88,627.166,-5.2717
0.636,861.6,627.559,-5.2756
0.637,862.262,627.953,-5.2795
0.637,862.915,627.953,-5.2795
0.637,863.908,628.347,-5.2835
0.638,864.713,628.74,-5.2874
0.638,865.364,629.134,-5.2913
0.638,865.933,629.528,-5.2953
0.639,866.52,629.922,-5.2992
0.639,867.383,630.315,-5.3032
0.639,868.119,630.315,-5.3032
0.64,869.185,630.709,-5.3071
0.64,869.819,631.103,-5.311
0.64,870.851,631.496,-5.315
0.641,871.658,631.89,-5.3189
0.641,872.504,632.284,-5.3228
0.641,873.087,632.677,-5.3268
0.642,873.765,633.071,-5.3307
0.642,874.486,633.465,-5.3346
0.642,875.985,633.859,-5.3386
0.643,876.586,634.252,-5.3425
0.643,877.366,634.252,-5.3425
0.643,878.168,634.646,-5.3465
0.644,879.353,635.433,-5.3543
0.644,879.879,635.433,-5.3543
0.644,880.649,635.827,-5.3583
0.645,881.439,636.221,-5.3622
0.645,882.191,636.614,-5.3661
0.645,882.869,637.008,-5.3701
0.646,883.429,637.402,-5.374
0.646,884.043,637.796,-5.378
0.646,884.772,637.796,-5.378
0.647,885.796,638.189,-5.3819
0.647,886.564,638.583,-5.3858
0.647,887.234,638.977,-5.3898
0.648,887.839,639.37,-5.3937
0.648,888.414,639.764,-5.3976
0.648,889.214,640.158,-5.4016
0.649,889.945,640.158,-5.4016
0.649,890.715,640.551,-5.4055
0.649,891.487,640.945,-5.4095
0.65,892.27,641.339,-5.4134
0.65,892.797,641.733,-5.4173
0.65,893.484,642.126,-5.4213
0.651,894.018,642.126,-5.4213
0.651,894.97,642.52,-5.4252
0.651,895.689,642.914,-5.4291
0.652,896.254,643.307,-5.4331
0.652,896.602,643.701,-5.437
0.652,897.398,643.701,-5.437
0.653,898.231,644.095,-5.4409
0.653,898.815,644.488,-5.4449
0.653,899.458,644.882,-5.4488
0.654,900.03,645.276,-5.4528
0.654,900.799,645.276,-5.4528
0.654,901.599,645.67,-5.4567
0.655,902.466,646.063,-5.4606
0.655,903.005,646.457,-5.4646
0.655,903.551,646.851,-5.4685
0.656,904.183,646.851,-5.4685
0.656,905.151,647.244,-5.4724
0.656,905.948,647.638,-5.4764
0.657,906.498,648.032,-5.4803
0.657,907.027,648.425,-5.4843
0.657,907.725,648.425,-5.4843
0.658,908.58,648.819,-5.4882
0.658,909.363,649.213,-5.4921
0.658,910.08,649.607,-5.4961
0.659,910.487,650,-5.5
0.659,911.103,650,-5.5
0.659,912.008,650.394,-5.5039
0.66,912.95,650.788,-5.5079
0.66,913.564,651.181,-5.5118
0.66,914.072,651.575,-5.5158
0.661,914.592,651.969,-5.5197
0.661,915.347,651.969,-5.5197
0.661,916.261,652.363,-5.5236
0.662,917.019,652.756,-5.5276
0.662,917.562,653.15,-5.5315
0.662,918.106,653.544,-5.5354
0.663,918.775,653.544,-5.5354
0.663,919.735,653.937,-5.5394
0.663,920.576,654.331,-5.5433
0.664,921.245,654.725,-5.5472
0.664,921.753,655.118,-5.5512
0.664,922.237,655.512,-5.5551
0.665,923.192,655.512,-5.5551
0.665,924.031,655.906,-5.5591
0.665,924.684,656.3,-5.563
0.666,925.194,656.693,-5.5669
0.666,925.815,657.087,-5.5709
0.666,926.592,657.087,-5.5709
0.667,927.542,657.481,-5.5748
0.667,928.195,657.874,-5.5787
0.667,928.805,658.268,-5.5827
0.668,929.353,658.662,-5.5866
0.668,930.044,658.662,-5.5866
0.668,930.963,659.055,-5.5906
0.669,931.666,659.449,-5.5945
0.669,932.346,659.843,-5.5984
0.669,932.849,660.237,-5.6024
0.67,933.675,660.63,-5.6063
0.67,934.32,661.024,-5.6102
0.67,935.145,661.024,-5.6102
0.671,935.974,661.418,-5.6142
0.671,936.716,661.811,-5.6181
0.671,937.204,662.205,-5.6221
0.672,937.875,662.599,-5.626
0.672,938.541,662.599,-5.626
0.672,939.367,662.992,-5.6299
0.673,940.226,663.386,-5.6339
0.673,940.929,663.78,-5.6378
0.673,941.481,664.174,-5.6417
0.674,942.055,664.567,-5.6457
0.674,942.888,664.567,-5.6457
0.674,943.779,664.961,-5.6496
0.675,944.549,665.355,-5.6535
0.675,945.015,665.748,-5.6575
0.675,945.682,666.142,-5.6614
0.676,946.321,666.142,-5.6614
0.676,947.422,666.536,-5.6654
0.676,948.188,666.929,-5.6693
0.677,948.826,667.323,-5.6732
0.677,949.337,667.717,-5.6772
0.677,949.956,668.111,-5.6811
0.678,950.791,668.111,-5.6811
0.678,951.703,668.504,-5.685
0.678,952.367,668.898,-5.689
0.679,952.964,669.292,-5.6929
0.679,953.548,669.685,-5.6969
0.679,954.281,670.079,-5.7008
0.68,955.209,670.079,-5.7008
0.68,955.791,670.473,-5.7047
0.68,956.715,670.866,-5.7087
0.681,957.226,671.26,-5.7126
0.681,957.862,671.654,-5.7165
0.681,958.504,671.654,-5.7165
0.682,959.322,672.048,-5.7205
0.682,960.168,672.441,-5.7244
0.682,960.848,672.835,-5.7283
0.683,961.426,673.229,-5.7323
0.683,962.128,673.622,-5.7362
0.683,962.891,673.622,-5.7362
0.684,963.647,674.016,-5.7402
0.684,964.527,674.41,-5.7441
0.684,965.079,674.803,-5.748
0.685,965.667,675.197,-5.752
0.685,966.289,675.591,-5.7559
0.685,967.122,675.591,-5.7559
0.686,968.034,675.985,-5.7598
0.686,968.876,676.378,-5.7638
0.686,969.347,676.772,-5.7677
0.687,970.02,677.166,-5.7717
0.687,970.599,677.166,-5.7717
0.687,971.596,677.559,-5.7756
0.688,972.391,677.953,-5.7795
0.688,972.914,678.347,-5.7835
0.688,973.444,678.74,-5.7874
0.689,974.163,678.74,-5.7874
0.689,975.075,679.134,-5.7913
0.689,975.845,679.528,-5.7953
0.69,976.603,679.922,-5.7992
0.69,977.014,680.315,-5.8032
0.69,977.717,680.709,-5.8071
0.691,978.541,680.709,-5.8071
0.691,979.53,681.103,-5.811
0.691,980.143,681.496,-5.815
0.692,980.734,681.89,-5.8189
0.692,981.34,682.284,-5.8228
0.692,982.031,682.284,-5.8228
0.693,982.986,682.677,-5.8268
0.693,983.784,683.071,-5.8307
0.693,984.422,683.465,-5.8346
0.694,984.947,683.859,-5.8386
0.694,985.607,684.252,-5.8425
0.694,986.373,684.252,-5.8425
0.695,987.306,684.646,-5.8465
0.695,987.961,685.04,-5.8504
0.695,988.681,685.433,-5.8543
0.696,989.176,685.827,-5.8583
0.696,989.983,686.221,-5.8622
0.696,990.759,686.221,-5.8622
0.697,991.705,686.614,-5.8661
0.697,992.532,687.008,-5.8701
0.697,993.039,687.402,-5.874
0.698,993.615,687.796,-5.878
0.698,994.346,688.189,-5.8819
0.698,995.206,688.189,-5.8819
0.699,996.146,688.583,-5.8858
0.699,996.853,688.977,-5.8898
0.699,997.543,689.37,-5.8937
0.7,998.091,689.764,-5.8976
0.7,998.673,690.158,-5.9016
0.7,999.737,690.158,-5.9016
0.701,1000.237,690.551,-5.9055
0.701,1000.495,690.551,-5.9055
0.701,1000.516,690.552,-5.9055
